Name,Population,Poverty Count,Poverty Rate,County
Alameda County,1515136.0,178897.0,11.807322906986567,001
Alpine County,1197.0,159.0,13.283208020050125,003
Amador County,37764.0,3502.0,9.273382056985488,005
Butte County,220101.0,44156.0,20.061698947301466,007
Calaveras County,45507.0,4643.0,10.202825938866548,009
Colusa County,21329.0,3206.0,15.031178208073515,011
Contra Costa County,1052047.0,106304.0,10.104491529370836,013
Del Norte County,28496.0,5380.0,18.879842784952274,015
El Dorado County,180441.0,14439.0,8.00206161570818,017
Fresno County,930517.0,226967.0,24.39149419086379,019
Glenn County,28078.0,5383.0,19.171593418334638,021
Humboldt County,134317.0,25729.0,19.15543080920509,023
Imperial County,173487.0,37544.0,21.640814585530904,025
Inyo County,18474.0,2035.0,11.015481216845297,027
Kern County,839153.0,180779.0,21.543032081158024,029
Kings County,151982.0,27679.0,18.212025108236503,031
Lake County,64360.0,15036.0,23.362336855189557,033
Lassen County,34628.0,3724.0,10.754302876285088,035
Los Angeles County,9840024.0,1658231.0,16.851899954715556,037
Madera County,150615.0,29900.0,19.851940377784416,039
Marin County,252759.0,18371.0,7.268188274205864,041
Mariposa County,18193.0,2647.0,14.549552025504315,043
Mendocino County,87577.0,16689.0,19.056373248684014,045
Merced County,256398.0,61914.0,24.147614255961436,047
Modoc County,9545.0,1829.0,19.161864850707175,049
Mono County,14181.0,1333.0,9.399901276355687,051
Monterey County,416199.0,64123.0,15.4068126064695,053
Napa County,136644.0,13341.0,9.763326600509354,055
Nevada County,98521.0,11320.0,11.489936155743445,057
Orange County,3021840.0,349220.0,11.556535091202711,059
Placer County,350074.0,29082.0,8.307386438295904,061
Plumas County,19926.0,2720.0,13.650506875439124,063
Riverside County,2192982.0,335557.0,15.301402382691695,065
Sacramento County,1422348.0,230523.0,16.20721511191354,067
San Benito County,55467.0,7000.0,12.62011646564624,069
San Bernardino County,2041029.0,350982.0,17.196325970870575,071
San Diego County,3100500.0,418555.0,13.49959683921948,073
San Francisco County,807755.0,104784.0,12.972250249147327,075
San Joaquin County,687036.0,117938.0,17.166203808825156,077
San Luis Obispo County,270121.0,34755.0,12.86645614372818,079
San Mateo County,721183.0,52888.0,7.333506197456124,081
Santa Barbara County,423594.0,62240.0,14.693314825044736,083
Santa Clara County,1788393.0,171669.0,9.599064635122145,085
Santa Cruz County,262340.0,36553.0,13.933445147518487,087
Shasta County,177693.0,30820.0,17.344521168532243,089
Sierra County,3163.0,527.0,16.6613974075245,091
Siskiyou County,44673.0,8610.0,19.27338660936136,093
Solano County,414209.0,47415.0,11.44711969078412,095
Sonoma County,483456.0,54966.0,11.369390389197775,097
Stanislaus County,515115.0,97847.0,18.99517583452239,099
Sutter County,94615.0,15868.0,16.77112508587433,101
Tehama County,63200.0,12646.0,20.009493670886076,103
Trinity County,13693.0,2377.0,17.359234645439276,105
Tulare County,441877.0,108096.0,24.462916150874566,107
Tuolumne County,55205.0,6718.0,12.16918757358935,109
Ventura County,822794.0,83936.0,10.201338366589937,111
Yolo County,200873.0,36007.0,17.925256256440637,113
Yuba County,72244.0,14541.0,20.127623055201816,115
