County_FIPS,Date,County_Name,Property_Damage
48,2010,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIR,17500
48,2010,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIR,8000
95,2010,KERN CTY MTNS,250000
57,2010,SANTA ANA MOUNTAINS AND FOOTHILLS,400000
520,2011,OWENS VALLEY,4500000
58,2011,SAN DIEGO COUNTY MOUNTAINS,25000
55,2011,SAN BERNARDINO COUNTY MOUNTAINS,500000
60,2011,APPLE AND LUCERNE VALLEYS,600000
95,2011,KERN CTY MTNS,10000000
55,2012,SAN BERNARDINO COUNTY MOUNTAINS,20000
58,2012,SAN DIEGO COUNTY MOUNTAINS,400000
95,2012,KERN CTY MTNS,200000
48,2012,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIR,200000
56,2012,RIVERSIDE COUNTY MOUNTAINS,1000000
58,2012,SAN DIEGO COUNTY MOUNTAINS,3670000
55,2012,SAN BERNARDINO COUNTY MOUNTAINS,4000
48,2013,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIR,15000
507,2013,NORTH BAY MOUNTAINS,500000
48,2013,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIR,400000
48,2013,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIR,550000
55,2013,SAN BERNARDINO COUNTY MOUNTAINS,50000
58,2013,SAN DIEGO COUNTY MOUNTAINS,7240000
56,2013,RIVERSIDE COUNTY MOUNTAINS,2000000
57,2013,SANTA ANA MOUNTAINS AND FOOTHILLS,5000
56,2013,RIVERSIDE COUNTY MOUNTAINS,7000000
96,2013,S SIERRA MTNS,15000000
43,2013,SAN DIEGO COUNTY COASTAL AREAS,10000
507,2013,NORTH BAY MOUNTAINS,5000
61,2014,COACHELLA VALLEY,35000
48,2014,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIR,6000
48,2014,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIR,6000
43,2014,SAN DIEGO COUNTY COASTAL AREAS,22500000
50,2014,SAN DIEGO COUNTY VALLEYS,1120000
50,2014,SAN DIEGO COUNTY VALLEYS,5700000
93,2014,S SIERRA FOOTHILLS,1000000
93,2014,S SIERRA FOOTHILLS,1000000
58,2014,SAN DIEGO COUNTY MOUNTAINS,900000
18,2014,CARQUINEZ STRAIT AND DELTA,2500000
85,2014,MODOC COUNTY,1000000
80,2014,WESTERN SISKIYOU COUNTY,600000
80,2014,WESTERN SISKIYOU COUNTY,200000
80,2014,WESTERN SISKIYOU COUNTY,600000
57,2014,SANTA ANA MOUNTAINS AND FOOTHILLS,5000
81,2014,CENTRAL SISKIYOU COUNTY,20000000
520,2015,OWENS VALLEY,1000
525,2015,MORONGO BASI,30000
55,2015,SAN BERNARDINO COUNTY MOUNTAINS,900000
55,2015,SAN BERNARDINO COUNTY MOUNTAINS,500000
69,2015,WEST SLOPE NORTHERN SIERRA NEVADA,25000
17,2015,SOUTHERN SACRAMENTO VALLEY,500000
50,2016,SAN DIEGO COUNTY VALLEYS,4000000
48,2016,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIR,50000
64,2016,CLEAR LAKE/SOUTHERN LAKE COUNTY,1500000
55,2016,SAN BERNARDINO COUNTY MOUNTAINS,50000000
18,2017,CARQUINEZ STRAIT AND DELTA,2000000
57,2017,SANTA ANA MOUNTAINS AND FOOTHILLS,1000000
113,2017,SOUTHEASTERN MENDOCINO INTERIOR,38400000
554,2017,ORANGE COUNTY INLAND,25000000
50,2017,SAN DIEGO COUNTY VALLEYS,30000000
61,2018,COACHELLA VALLEY,100000
58,2018,SAN DIEGO COUNTY MOUNTAINS,500000
61,2018,COACHELLA VALLEY,500000
15,2018,NORTHERN SACRAMENTO VALLEY,1500000000
56,2018,RIVERSIDE COUNTY MOUNTAINS,200000
63,2018,MOUNTAINS SOUTHWEST SHASTA COUNTY TO NORTHERN LAKE COUNTY,56000000
57,2018,SANTA ANA MOUNTAINS AND FOOTHILLS,500000
66,2018,NORTHEAST FOOTHILLS/SACRAMENTO VALLEY,17000000000
511,2019,EAST BAY HILLS AND THE DIABLO RANG,5000
510,2019,EAST BAY INTERIOR VALLEYS,5000
48,2019,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIR,400000
48,2019,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIR,100000
519,2019,EASTERN SIERRA SLOPES OF INYO COUNTY,100000
48,2019,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIR,8000000
48,2019,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIR,100000
50,2019,SAN DIEGO COUNTY VALLEYS,50000
48,2019,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIR,100000
48,2019,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIR,100000
48,2019,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIR,4000000
